Denominación Social Empresa Comercializadora,Denominación de la Oferta,Importe primeras facturas en Euros,Importe siguientes facturas en Euros,Validez,Servicios Adicionales Incluidos,Penalización,Verde,URL de la Oferta
ENDESA ENERGÍA S.A.U.,Conecta Endesa,"44,94 €","44,94 €",Oferta válida solo para nuevos clientes,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F10EB6C0927FCA0507E6C44BE7D1486136C9431B895B39AB2ABB3ACB8A7DE4743DF643F806685B0CB6275F592067217CFDE38B64901427B8168B227EF23A8F738E0627B7D9A6DFFACB5CFEC390FD93DBB154EB9F40FDF9DEBF498AB8A77309643281D179A2394A2EA0AE22DDFDFD669B8D57453757D3018C9AF0534A2E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"NATURGY IBERIA, S.A.",Por Uso Luz,"44,96 €","44,96 €",Válida sólo para consumidores domésticos,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F06251A77AA31557796C079AB35E143F1BC615BC86B3E68D9EB99497CAE715B80D7D8C137FEB4F5AE945CD487077F54583D7B53DC6776E15389A1C37C8549AAFA2E64EE35AD171D8E8BA20CC2177DB2C127EC11F54F0B6B4AD03750D4082FF1EEAA2E007ED63E1AC3A2C54E4AE0636D475C1946AE64FAC697EDC82420E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"NATURGY IBERIA, S.A.",Noche Luz,"45,23 €","45,23 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F061F521CA8DB09A3247D07771C81A0A710CEBC798F1CE3A5F1A2E461B8A755A464716B157EC1F075A159054BF878EABE7F2847D8F4D3D644F36DABA95CB444D8C670BE25F61E726A862D7E1145A983C576514C1AE127F494007112EB4386E318E2CDF8658E2A10D18259E863C9D941D0838F281030DEC19749AFDCB6E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"IBERDROLA CLIENTES, S.A.U.",2.0TD Plan Online 3 Precios (0-10kW),"45,92 €","45,92 €","Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.",Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0183A99798169C5816BE05F2E44B812657F7C9A22466BE3AC14A52E5DBAAA9F86E18C7978919C713FA4FE23BFF5CC43AD4FAB5199AE706A541EAAF6505A6E239EFDA71A027F611B62D4BC92A10941333EEFBA20B4FE55AE66E77BD6E8CCF10BE024784401E3223DFACC4B43DD3BE9F1BF57EC1FEAA8AC5148656F43EE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TOTALENERGIES CLIENTES S.A.U.,A TU AIRE SIEMPRE + DIGITAL,"43,90 €","46,35 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EFDF2016CC4D3CF39911D89CB3B44B910737976F647B688267B37EC4228FB0BE934519E4C911C8DEDFDF5FBC8B96797575DB94AF8DA4633A48DC3FB11F971D99BC724C7ED3A7C717ACF5BB8088F9F13DC5175853B7D821612321D87C52C77E8CCF50284A5A1D4006FAA7BCF9DEA77CBC2503FDC5A813FAEAF3F5AE0D2E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U",REPSOL TARIFA DISCRIMINACIÓN HORARIA + ahorro hasta 300 € en saldo Waylet,"46,63 €","46,63 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F16CAE87683A1A4148AEC41A842365DE9AD7DFDD027BEE37C89F25C1A490C3B291457BA8A5956FEA232546D8D48F557F52A90E9C96ED9B651F59A5A645B64B12674634B736EFBD0424030D7CE2B58F55B767FABCBAAE42F96F9EF8BF232E3A761A5A5514757EEBCD2F7F5AC92C42A8E6CC1BB6C2269A52D7057ADBC4AE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TOTALENERGIES CLIENTES S.A.U.,A TU AIRE PROGRAMA TU AHORRO + DIGITAL,"43,52 €","46,74 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EFDFD9222C78066E275A46E336E03FFA5CA9EB593FFF9928E6F24B678148F17A21B204A919102985FE3FD9A3ED7746A8ADA5F62FFBF8C49C1BA2C2AB84A9CA5DE970D280CA86DC7C2DA44D56A334771D3B4AB10F05949037FD1AA0396B5CA067883C294D831FC1453EB529B6C178C22B001541996E977B8B0878B6FA6E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
ENDESA ENERGÍA S.A.U.,Libre de Endesa 20%,"46,11 €","46,86 €",Oferta válida solo para nuevos clientes,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F142C1F39E88747D0C45C820CC2E06013EF0DCE14688E87EF464C8BE2E9819344C984B2E85F38A0D4149A86CA7A0D7E4AECEF78397CF8B3B5E5FF8EB5F7B26A0359BD8454864E43EFC7602FAF1733AB4EFC5E04D1DFD264C0D41B7E791648EE834E21A5D2AEDA3B1C474B7FDC8D8EDC92A3258C72CCF2E925FCAD6042E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
IMAGINA ENERGIA,IMAGINA SOLAR CON INSTALACION,"48,26 €","48,26 €",Válida para nuevos clientes que cumplen ciertos requisitos (ver detalle de la oferta),Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F15C0E81C462003E802CDBC4BB307067ED9255DA499B8F4259FAC31421EBF2D8C57C640575BAC0E6687A530F095CE5E54F7A4C12AD58DB9B2F83E1273108C5725C682A8A08E4D0FC9453F3408773884218CB01E8BEC04DABDA4506C1EDC82FCF7D263DCBC6454F35124A95D0CB756BF11D8E9EBB50C9C4752DB50E73EE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"ENI PLENITUDE IBERIA, S.L.",Tarifa Fácil Luz Hogar,"48,57 €","48,57 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF4BAB062A34AF4A3759F86C2CAD87A0F01CB9147724A3D501A86C94A6F01B49147A05750A5CC3B2AAFE3B5A8C72F4A50095E257A266C94652ABE02894B57145E19F82EE19E2BB0121D984E3A257432B942CA311C5AFCE2B70E2ADCCBBF08441733F59C5AC1E4268BFF516751FE428659341F10377497B5A9B8A90FE2E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U",REPSOL TARIFA PLAN AHORRO PLUS,"48,76 €","48,76 €",Válida sólo para consumidores no domésticos,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9ED3FFA54811D7BF28B5DE1DDF2C853869E0E3DBEB788F4A1E46E483B13A8687C813B9CE0A6F43ABD32F53C060BBE39319C54F25F64992FED4FDE3285895B80148B4D425EEF8AB012F3CDCA7667B764418FDC04FC45E81F1F90516724A9E234C11B567C541C877DB127F6D9E536A3282A98E57C2C281FF6508EB3CD8E8E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U",REPSOL TARIFA AHORRO PLUS + ahorro hasta 300 € en saldo Waylet,"48,76 €","48,76 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9ED36F1464F06A57698D47F6C8B22E461F1F924D37F949480ADDD4A40F39CBF540CEA264ABF088294373F4839C444343162F32F9A017A6EA6852CCD4B99F2108058DFB74661A624AAAB47AB821FDBDAD84A5A2FD6FA34B5A1EBABA668F69A0D9313D06FAC9BE82E26D54F0AAC236B4440E68DAC54F6B42E7F8E4DDDF8EE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
IMAGINA ENERGIA,PLAN NOCHE Y FINDES + PRECIO SIN SUBIDAS 3 AÑOS,"49,65 €","49,65 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EFBF522244F29BE3249EE47E2826497657912B3DA9C30BE488E852AFDAB89082188CC02709592C25A74A6BF7B8F334A7DF12D29C9723A66A0EBDBCA7C0616BE200B34428655019D18EF4AAB406EAEED5744418225B751473AC5F83FC1925ACF506BFFBBF4DAF095348590C82E2AF8DAE7E0C555F8979DF676D7025462E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"COMPAÑIA LUMISA ENERGIAS, SL",2.0TD,"49,71 €","49,71 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF8CB905F93F84603CD0BD364A2174A8FA4E394BA39DBE5DBDBC5E03F410DD3926C48E7929CABE7358E916B2F57B18A69DBC297E6C1105AA6C75EC301D462E3DB31A9F9EE45040565F38CA28DAEA53BB2239D4EB19EEC5B41258E647605E6B267637B4E216FFB24CACAD50DCDD76915E9753C9774184B3A1D19BB466AE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"IBERDROLA CLIENTES, S.A.U.",2.0TD Plan Estable 100 (0-10kW),"50,06 €","50,06 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F164BB0A466371FD2B920712E13FE557EEEE44D093CDD71050EC5ABC929AFBA37297653935A748BBD50009E79FE6844BECF6DE17D94D6C3110D204E3EDE8DEA4785672A19B59D1B29C82C949C231CEBBA3332AB063957FBE11EE639F14C5C610283649F1B2635E2042EBAEAB6D44AD23625DCCA89EF3CBF623D97992EE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"WATIUM, S.L.",2.0 TD,"50,86 €","50,86 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EF5A7C6F5DA1D19A9C26CD11ADB29A1047C4714E8B3A892A322FCFA9BCC5CA4DFC32D22D723B811499B7FE61E2F3633EF84AB1207828959BB3915D35ACB446FB7C013E165EBFF18D6FD43288BC06FB908B493E117F46AE5FE54EAC7133E1BA4542256E8674D19BE533084B9549A637C61E23DF78DCD1482C4008C7FDCE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
NEXUS ENERGIA SA,Luz Estable,"50,91 €","50,91 €",Válida para cualquier consumidor,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EFE544F77DB8ED85527981F40EA9E9105D8360B32E5F0609A1494A30C7B656F8CDE2E5697103FE6B62136BEB4B8D49A8D013D17337719EF9C87399017AB5DA1D3AE5BF8F860FFCEDF2C1931C67EB632931CBCA8BCC99CF835FE47A43A3BB1E4FF32630E536B28A983D19D93F669A4AEA6B16BE4DBF71C03BA24F79EDCE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"HIDROELECTRICA DE SILLEDA COMERCIALIZADORA, S.L",Eficiente 20TD,"51,06 €","51,06 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1009E62BF3D712F31625DECE9F82A5B3493DECB50C984FC7972A459D361762AE4AA6203EE87FE51E5CE16392BC780163DF91E1C28A6BCC4886C286C3F4E668220A2F2918BA8BED2FE10E2F491886156306BA95AD523888124D653D14816F53B1C87BDBC028871F071A85A7AB70C9CA9DD869A95B8CEB55B0AF52537CE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
IMAGINA ENERGIA,PLAN SIN HORAS 3 AÑOS,"51,20 €","51,20 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9EFB75EA5231BF39F078227768542C8EFABA790313B14F4BD113587AAC8C2C872F9DEA9B7996B04F759252F06844A63747960A217D983773600361BE56893FF7411C38212C9BA2E8007746680E6672E3B600F4816045C51384EAEEEDC0ABD388F149BF09C8A937BA65BC5606523B191EB144E6B4601D358868BCEC3146E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TOTALENERGIES CLIENTES S.A.U.,A TU AIRE SIEMPRE,"48,70 €","51,50 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F152A8EDE235C505467F423011F5070E96C412FA23E516CDE3CA5EC85283A95289F4780D65CFD869DD94224F10F27A4B7A33588D130FE9A37B6F3A700F15FF7C137B5C707F90BAE20B768B61327ABBE9182F8065CC2EACC2C8A2E227AE3577B4192A30A2B124BF0B9D9C103946D4E54FFDAE2CFA3C1C3C54230D9A67AE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"HIDROELECTRICA DE SILLEDA COMERCIALIZADORA, S.L",Eficiente 20TD 24 H,"51,61 €","51,61 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F10BD29311D4A41ACEC50B31DB2176BBE0FFF3741B4A77112DC0083E0F98E186044298E6C66ED8703CA577BB98E3ECB01EBA0562D6C2A230CB7116955DEFDC62DA0C0FAFFE2A8A68C8A2B76B28137C5DD88788B20A0C3E8357666BC4451E81F94ED1CD6CFE2F453590786FEA72B850E0211235E83DC4FF0C48E42F952E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"ESTABANELL IMPULSA, S.A.U.",PLAN VEHICULO ELECTRICO,"51,79 €","51,79 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F160C14BB5781DDB1D03A88F0FCE251498F9774A5C76CB7C9512F53A09A0179BE3405A017DB03524ADED6B6F05921BB23A1DC5D57A7D5497098E3482C202286D80DE9196CD8EDC09D8C2A73031EFEE6E9918C2AA38091E206316190F0D918BDD2F24446050D59749CCA1D89C8DC5AF41AD7ED79BDB208885B308C87A0E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
TOTALENERGIES CLIENTES S.A.U.,A TU AIRE PROGRAMA TU AHORRO,"48,26 €","51,94 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1530573924B29C28DA37953538B0143417D3CEF11A72F212369C51A01E049B0512AED6F8DCF08BD6CC45F42C1E2E0E51618894D4A3A1A5464D27BED419F55DE29FA9F717B0045944BCDD44C3F97FED8D3492CC3730CE42E359F46063A8008A175A0312445A5FFAABFA2C697B83D88076B36CEE41F5DFCA42D4F1EDE4E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
DISA ENERGIA ELECTRICA S.L.,ALISIOS TRANQUILIDAD,"48,04 €","52,37 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F0F8AAE59D66C8EB1445A0E54714A9D488AA43BEE21B6DD501BFD954C16BAE1BC5FC4B947E99D72397A8D947F71EAEE2D846ED976B068D9079E487A9E780FA1431B3307BF012D38176909EC17104A0BC1C36D94E7E0AC545C725BEB139AE80D52A63B2993F6CE4438514AE5CF80EA0E673C8B07C31282E7A2953C3060E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
CIDE HCENERGÍA S.A.U,Plan Ilumina,"52,65 €","52,65 €",Válida para cualquier consumidor,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1499FDFB01EEE8953F5DFBEAA4F97E9EAAEFA0EEBF0B6ACAD3960CE3278002A15A301777DE42040E1DE2E82C978754B40D195C7AFF1285CB0BDD5361FAC8FE7E10DD157F1AC2F79C2F06C6CEA9F327FD2ADAB40807B434523FD216BFAED508611A423FB30856F814AF44100339D01664B565D230AB0748322A7AAD20E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
EDP CLIENTES SAU,Movilidad eficiente HOGARES,"52,72 €","52,72 €",Válida para nuevos clientes que cumplen ciertos requisitos (ver detalle de la oferta),Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F14D999E410A42AB62843E427BC1582D40A3C7952347C2406912C650BB72E431A4FA0CAF35DB33D808F0CCFB63CCDDE4F3AAAE0A0EC13FF6B801A5974B93461ED885B262BF77252286B08E867AE112CCDCC81346AC07A4E2D2D56BFC02218AB90AB6298C92133657C13E170F131BFF480035522FCE83B7F393785BEAEE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
